color_id,canonical,surface,normalized,source,catalog_count,mapping_reason,active,version
black,черный,дерево/ черный,дерево черный,catalog_color_attributes,47,color_anchor,true,catalog_palette_30_v1
black,черный,космический черный,космический черный,catalog_color_attributes,47,color_anchor,true,catalog_palette_30_v1
black,черный,черный глянцевый,черный глянцевый,catalog_color_attributes,47,color_anchor,true,catalog_palette_30_v1
black,черный,черный лак,черный лак,catalog_color_attributes,47,color_anchor,true,catalog_palette_30_v1
gray,серый,серый матовый,серый матовый,catalog_color_attributes,47,color_anchor,true,catalog_palette_30_v1
green,зеленый,изумрудный зеленый,изумрудный зеленый,catalog_color_attributes,47,color_anchor,true,catalog_palette_30_v1
multicolor,разноцветный,коричневый/ серый,коричневый серый,catalog_color_attributes,47,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,нержавеющая сталь/ черное стекло,нержавеющая сталь черное стекло,catalog_color_attributes,47,multiple_color_anchors,true,catalog_palette_30_v1
purple,фиолетовый,cobalt violet,cobalt violet,catalog_color_attributes,47,color_anchor,true,catalog_palette_30_v1
white,белый,античный белый,античный белый,catalog_color_attributes,47,color_anchor,true,catalog_palette_30_v1
black,черный,черный оникс,черный оникс,catalog_color_attributes,46,color_anchor,true,catalog_palette_30_v1
bronze,бронзовый,античная бронза,античная бронза,catalog_color_attributes,46,color_anchor,true,catalog_palette_30_v1
gold,золотистый,дуб крафт золотой,дуб крафт золотой,catalog_color_attributes,46,color_anchor,true,catalog_palette_30_v1
multicolor,разноцветный,бежевый/ черный,бежевый черный,catalog_color_attributes,46,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,фиолетовый/ черный,фиолетовый черный,catalog_color_attributes,46,multiple_color_anchors,true,catalog_palette_30_v1
gold,золотистый,gold,gold,manual_palette,45,manual_alias,true,catalog_palette_30_v1
multicolor,разноцветный,белый/ оранжевый,белый оранжевый,catalog_color_attributes,45,multiple_color_anchors,true,catalog_palette_30_v1
white,белый,белый жемчуг,белый жемчуг,catalog_color_attributes,45,color_anchor,true,catalog_palette_30_v1
